State,State_code,Year,State_Minimum_Wage,State_Minimum_Wage_2020_Dollars,Federal_Minimum_Wage,Federal_Minimum_Wage_2020_Dollars,Effective_Minimum_Wage,Effective_Minimum_Wage_2020_Dollars
Mississippi,MS,2012,0,0,7.25,8.17,7.25,8.17
Missouri,MO,2012,7.25,8.17,7.25,8.17,7.25,8.17
Montana,MT,2012,4,4.51,7.25,8.17,7.25,8.17
Nebraska,NE,2012,7.25,8.17,7.25,8.17,7.25,8.17
Nevada,NV,2012,7.25,8.17,7.25,8.17,7.25,8.17
New Hampshire,NH,2012,7.25,8.17,7.25,8.17,7.25,8.17
New Jersey,NJ,2012,7.25,8.17,7.25,8.17,7.25,8.17
New Mexico,NM,2012,7.5,8.45,7.25,8.17,7.5,8.45
New York,NY,2012,7.25,8.17,7.25,8.17,7.25,8.17
North Carolina,NC,2012,7.25,8.17,7.25,8.17,7.25,8.17
North Dakota,ND,2012,7.25,8.17,7.25,8.17,7.25,8.17
Ohio,OH,2012,7.7,8.67,7.25,8.17,7.7,8.67
Oklahoma,OK,2012,2,2.25,7.25,8.17,7.25,8.17
Oregon,OR,2012,8.8,9.91,7.25,8.17,8.8,9.91
Pennsylvania,PA,2012,7.25,8.17,7.25,8.17,7.25,8.17
Puerto Rico,None,2012,0,0,7.25,8.17,7.25,8.17
Rhode Island,RI,2012,7.4,8.34,7.25,8.17,7.4,8.34
South Carolina,SC,2012,0,0,7.25,8.17,7.25,8.17
South Dakota,SD,2012,7.25,8.17,7.25,8.17,7.25,8.17
Tennessee,TN,2012,0,0,7.25,8.17,7.25,8.17
Texas,TX,2012,7.25,8.17,7.25,8.17,7.25,8.17
U.S. Virgin Islands,None,2012,4.3,4.84,7.25,8.17,7.25,8.17
Utah,UT,2012,7.25,8.17,7.25,8.17,7.25,8.17
Vermont,VT,2012,8.46,9.53,7.25,8.17,8.46,9.53
Virginia,VA,2012,7.25,8.17,7.25,8.17,7.25,8.17
Washington,WA,2012,9.04,10.18,7.25,8.17,9.04,10.18
West Virginia,WV,2012,7.25,8.17,7.25,8.17,7.25,8.17
Wisconsin,WI,2012,7.25,8.17,7.25,8.17,7.25,8.17
Wyoming,WY,2012,5.15,5.8,7.25,8.17,7.25,8.17
Alabama,AL,2013,0,0,7.25,8.05,7.25,8.05
Alaska,AK,2013,7.75,8.61,7.25,8.05,7.75,8.61
Arizona,AZ,2013,7.8,8.66,7.25,8.05,7.8,8.66
Arkansas,AR,2013,6.25,6.94,7.25,8.05,7.25,8.05
California,CA,2013,8,8.88,7.25,8.05,8,8.88
Colorado,CO,2013,7.78,8.64,7.25,8.05,7.78,8.64
Connecticut,CT,2013,8.25,9.16,7.25,8.05,8.25,9.16
Delaware,DE,2013,7.25,8.05,7.25,8.05,7.25,8.05
District of Columbia,DC,2013,8.25,9.16,7.25,8.05,8.25,9.16
Florida,FL,2013,7.79,8.65,7.25,8.05,7.79,8.65
Georgia,GA,2013,5.15,5.72,7.25,8.05,7.25,8.05
Guam,None,2013,7.25,8.05,7.25,8.05,7.25,8.05
Hawaii,HI,2013,7.25,8.05,7.25,8.05,7.25,8.05
Idaho,ID,2013,7.25,8.05,7.25,8.05,7.25,8.05
Illinois,IL,2013,8.25,9.16,7.25,8.05,8.25,9.16
Indiana,IN,2013,7.25,8.05,7.25,8.05,7.25,8.05
Iowa,IA,2013,7.25,8.05,7.25,8.05,7.25,8.05
Kansas,KS,2013,7.25,8.05,7.25,8.05,7.25,8.05
Kentucky,KY,2013,7.25,8.05,7.25,8.05,7.25,8.05
Louisiana,LA,2013,0,0,7.25,8.05,7.25,8.05
Maine,ME,2013,7.5,8.33,7.25,8.05,7.5,8.33
Maryland,MD,2013,7.25,8.05,7.25,8.05,7.25,8.05
Massachusetts,MA,2013,8,8.88,7.25,8.05,8,8.88
Michigan,MI,2013,7.4,8.22,7.25,8.05,7.4,8.22
Minnesota,MN,2013,5.25,5.83,7.25,8.05,7.25,8.05
Mississippi,MS,2013,0,0,7.25,8.05,7.25,8.05
Missouri,MO,2013,7.35,8.16,7.25,8.05,7.35,8.16
Montana,MT,2013,4,4.44,7.25,8.05,7.25,8.05
Nebraska,NE,2013,7.25,8.05,7.25,8.05,7.25,8.05
Nevada,NV,2013,7.25,8.05,7.25,8.05,7.25,8.05
New Hampshire,NH,2013,7.25,8.05,7.25,8.05,7.25,8.05
New Jersey,NJ,2013,7.25,8.05,7.25,8.05,7.25,8.05
New Mexico,NM,2013,7.5,8.33,7.25,8.05,7.5,8.33
New York,NY,2013,7.25,8.05,7.25,8.05,7.25,8.05
North Carolina,NC,2013,7.25,8.05,7.25,8.05,7.25,8.05
North Dakota,ND,2013,7.25,8.05,7.25,8.05,7.25,8.05
Ohio,OH,2013,7.85,8.72,7.25,8.05,7.85,8.72
Oklahoma,OK,2013,2,2.22,7.25,8.05,7.25,8.05
Oregon,OR,2013,8.95,9.94,7.25,8.05,8.95,9.94
Pennsylvania,PA,2013,7.25,8.05,7.25,8.05,7.25,8.05
Puerto Rico,None,2013,0,0,7.25,8.05,7.25,8.05
Rhode Island,RI,2013,7.75,8.61,7.25,8.05,7.75,8.61
South Carolina,SC,2013,0,0,7.25,8.05,7.25,8.05
South Dakota,SD,2013,7.25,8.05,7.25,8.05,7.25,8.05
Tennessee,TN,2013,0,0,7.25,8.05,7.25,8.05
Texas,TX,2013,7.25,8.05,7.25,8.05,7.25,8.05
U.S. Virgin Islands,None,2013,4.3,4.77,7.25,8.05,7.25,8.05
Utah,UT,2013,7.25,8.05,7.25,8.05,7.25,8.05
Vermont,VT,2013,8.6,9.55,7.25,8.05,8.6,9.55
Virginia,VA,2013,7.25,8.05,7.25,8.05,7.25,8.05
Washington,WA,2013,9.19,10.2,7.25,8.05,9.19,10.2
West Virginia,WV,2013,7.25,8.05,7.25,8.05,7.25,8.05
Wisconsin,WI,2013,7.25,8.05,7.25,8.05,7.25,8.05
Wyoming,WY,2013,5.15,5.72,7.25,8.05,7.25,8.05
Alabama,AL,2014,0,0,7.25,7.92,7.25,7.92
Alaska,AK,2014,7.75,8.47,7.25,7.92,7.75,8.47
Arizona,AZ,2014,7.9,8.63,7.25,7.92,7.9,8.63
Arkansas,AR,2014,6.25,6.83,7.25,7.92,7.25,7.92
California,CA,2014,9,9.83,7.25,7.92,9,9.83
Colorado,CO,2014,8,8.74,7.25,7.92,8,8.74
Connecticut,CT,2014,8.7,9.51,7.25,7.92,8.7,9.51
Delaware,DE,2014,7.75,8.47,7.25,7.92,7.75,8.47
District of Columbia,DC,2014,9.5,10.38,7.25,7.92,9.5,10.38
Florida,FL,2014,7.93,8.66,7.25,7.92,7.93,8.66
Georgia,GA,2014,5.15,5.63,7.25,7.92,7.25,7.92
Guam,None,2014,7.25,7.92,7.25,7.92,7.25,7.92
Hawaii,HI,2014,7.25,7.92,7.25,7.92,7.25,7.92
Idaho,ID,2014,7.25,7.92,7.25,7.92,7.25,7.92
Illinois,IL,2014,8.25,9.01,7.25,7.92,8.25,9.01
Indiana,IN,2014,7.25,7.92,7.25,7.92,7.25,7.92
Iowa,IA,2014,7.25,7.92,7.25,7.92,7.25,7.92
Kansas,KS,2014,7.25,7.92,7.25,7.92,7.25,7.92
Kentucky,KY,2014,7.25,7.92,7.25,7.92,7.25,7.92
Louisiana,LA,2014,0,0,7.25,7.92,7.25,7.92
Maine,ME,2014,7.5,8.19,7.25,7.92,7.5,8.19
Maryland,MD,2014,7.25,7.92,7.25,7.92,7.25,7.92
Massachusetts,MA,2014,8,8.74,7.25,7.92,8,8.74
Michigan,MI,2014,8.15,8.9,7.25,7.92,8.15,8.9
Minnesota,MN,2014,6.5,7.1,7.25,7.92,7.25,7.92
Mississippi,MS,2014,0,0,7.25,7.92,7.25,7.92
Missouri,MO,2014,7.5,8.19,7.25,7.92,7.5,8.19
Montana,MT,2014,7.9,8.63,7.25,7.92,7.9,8.63
Nebraska,NE,2014,7.25,7.92,7.25,7.92,7.25,7.92
Nevada,NV,2014,7.25,7.92,7.25,7.92,7.25,7.92
New Hampshire,NH,2014,7.25,7.92,7.25,7.92,7.25,7.92
New Jersey,NJ,2014,8.25,9.01,7.25,7.92,8.25,9.01
New Mexico,NM,2014,7.5,8.19,7.25,7.92,7.5,8.19
New York,NY,2014,8,8.74,7.25,7.92,8,8.74
North Carolina,NC,2014,7.25,7.92,7.25,7.92,7.25,7.92
North Dakota,ND,2014,7.25,7.92,7.25,7.92,7.25,7.92
Ohio,OH,2014,7.25,7.92,7.25,7.92,7.25,7.92
Oklahoma,OK,2014,2,2.19,7.25,7.92,7.25,7.92
Oregon,OR,2014,9.1,9.94,7.25,7.92,9.1,9.94
Pennsylvania,PA,2014,7.25,7.92,7.25,7.92,7.25,7.92
Puerto Rico,None,2014,5.08,5.55,7.25,7.92,7.25,7.92
Rhode Island,RI,2014,8,8.74,7.25,7.92,8,8.74
South Carolina,SC,2014,0,0,7.25,7.92,7.25,7.92
South Dakota,SD,2014,7.25,7.92,7.25,7.92,7.25,7.92
Tennessee,TN,2014,0,0,7.25,7.92,7.25,7.92
Texas,TX,2014,7.25,7.92,7.25,7.92,7.25,7.92
U.S. Virgin Islands,None,2014,4.3,4.7,7.25,7.92,7.25,7.92
Utah,UT,2014,7.25,7.92,7.25,7.92,7.25,7.92
Vermont,VT,2014,8.73,9.54,7.25,7.92,8.73,9.54
Virginia,VA,2014,7.25,7.92,7.25,7.92,7.25,7.92
Washington,WA,2014,9.32,10.18,7.25,7.92,9.32,10.18
West Virginia,WV,2014,7.25,7.92,7.25,7.92,7.25,7.92
Wisconsin,WI,2014,7.25,7.92,7.25,7.92,7.25,7.92
Wyoming,WY,2014,5.15,5.63,7.25,7.92,7.25,7.92
Alabama,AL,2015,0,0,7.25,7.91,7.25,7.91
Alaska,AK,2015,8.75,9.55,7.25,7.91,8.75,9.55
Arizona,AZ,2015,8.05,8.79,7.25,7.91,8.05,8.79
Arkansas,AR,2015,7.5,8.18,7.25,7.91,7.5,8.18
California,CA,2015,9,9.82,7.25,7.91,9,9.82
Colorado,CO,2015,8.23,8.98,7.25,7.91,8.23,8.98
Connecticut,CT,2015,9.15,9.99,7.25,7.91,9.15,9.99
Delaware,DE,2015,8.25,9,7.25,7.91,8.25,9
District of Columbia,DC,2015,10.5,11.46,7.25,7.91,10.5,11.46
Florida,FL,2015,8.05,8.79,7.25,7.91,8.05,8.79
Georgia,GA,2015,5.15,5.62,7.25,7.91,7.25,7.91
Guam,None,2015,8.25,9,7.25,7.91,8.25,9
Hawaii,HI,2015,7.75,8.46,7.25,7.91,7.75,8.46
Idaho,ID,2015,7.25,7.91,7.25,7.91,7.25,7.91
Illinois,IL,2015,8.25,9,7.25,7.91,8.25,9
Indiana,IN,2015,7.25,7.91,7.25,7.91,7.25,7.91
Iowa,IA,2015,7.25,7.91,7.25,7.91,7.25,7.91
Kansas,KS,2015,7.25,7.91,7.25,7.91,7.25,7.91
Kentucky,KY,2015,7.25,7.91,7.25,7.91,7.25,7.91
Louisiana,LA,2015,0,0,7.25,7.91,7.25,7.91
Maine,ME,2015,7.5,8.18,7.25,7.91,7.5,8.18
Maryland,MD,2015,8.25,9,7.25,7.91,8.25,9
Massachusetts,MA,2015,9,9.82,7.25,7.91,9,9.82
Michigan,MI,2015,8.15,8.89,7.25,7.91,8.15,8.89
Minnesota,MN,2015,7.25,7.91,7.25,7.91,7.25,7.91
Mississippi,MS,2015,0,0,7.25,7.91,7.25,7.91
Missouri,MO,2015,7.65,8.35,7.25,7.91,7.65,8.35
Montana,MT,2015,8.05,8.79,7.25,7.91,8.05,8.79
Nebraska,NE,2015,8,8.73,7.25,7.91,8,8.73
Nevada,NV,2015,7.25,7.91,7.25,7.91,7.25,7.91
New Hampshire,NH,2015,7.25,7.91,7.25,7.91,7.25,7.91
New Jersey,NJ,2015,8.38,9.15,7.25,7.91,8.38,9.15
New Mexico,NM,2015,7.5,8.18,7.25,7.91,7.5,8.18
New York,NY,2015,8.75,9.55,7.25,7.91,8.75,9.55
North Carolina,NC,2015,7.25,7.91,7.25,7.91,7.25,7.91
North Dakota,ND,2015,7.25,7.91,7.25,7.91,7.25,7.91
Ohio,OH,2015,7.25,7.91,7.25,7.91,7.25,7.91
Oklahoma,OK,2015,2,2.18,7.25,7.91,7.25,7.91
Oregon,OR,2015,9.25,10.09,7.25,7.91,9.25,10.09
Pennsylvania,PA,2015,7.25,7.91,7.25,7.91,7.25,7.91
Puerto Rico,None,2015,5.08,5.54,7.25,7.91,7.25,7.91
Rhode Island,RI,2015,9,9.82,7.25,7.91,9,9.82
South Carolina,SC,2015,0,0,7.25,7.91,7.25,7.91
South Dakota,SD,2015,8.5,9.28,7.25,7.91,8.5,9.28
Tennessee,TN,2015,0,0,7.25,7.91,7.25,7.91
Texas,TX,2015,7.25,7.91,7.25,7.91,7.25,7.91
U.S. Virgin Islands,None,2015,4.3,4.69,7.25,7.91,7.25,7.91
Utah,UT,2015,7.25,7.91,7.25,7.91,7.25,7.91
Vermont,VT,2015,9.15,9.99,7.25,7.91,9.15,9.99
Virginia,VA,2015,7.25,7.91,7.25,7.91,7.25,7.91
Washington,WA,2015,9.47,10.33,7.25,7.91,9.47,10.33
West Virginia,WV,2015,8,8.73,7.25,7.91,8,8.73
Wisconsin,WI,2015,7.25,7.91,7.25,7.91,7.25,7.91
Wyoming,WY,2015,5.15,5.62,7.25,7.91,7.25,7.91
Alabama,AL,2016,0,0,7.25,7.81,7.25,7.81
Alaska,AK,2016,9.75,10.51,7.25,7.81,9.75,10.51
Arizona,AZ,2016,8.05,8.68,7.25,7.81,8.05,8.68
Arkansas,AR,2016,8,8.62,7.25,7.81,8,8.62
California,CA,2016,10,10.78,7.25,7.81,10,10.78
Colorado,CO,2016,8.31,8.96,7.25,7.81,8.31,8.96
Connecticut,CT,2016,9.6,10.35,7.25,7.81,9.6,10.35
Delaware,DE,2016,8.25,8.89,7.25,7.81,8.25,8.89
District of Columbia,DC,2016,11.5,12.39,7.25,7.81,11.5,12.39
Florida,FL,2016,8.05,8.68,7.25,7.81,8.05,8.68
Georgia,GA,2016,5.15,5.55,7.25,7.81,7.25,7.81
Guam,None,2016,8.25,8.89,7.25,7.81,8.25,8.89
Hawaii,HI,2016,8.5,9.16,7.25,7.81,8.5,9.16
Idaho,ID,2016,7.25,7.81,7.25,7.81,7.25,7.81
Illinois,IL,2016,8.25,8.89,7.25,7.81,8.25,8.89
Indiana,IN,2016,7.25,7.81,7.25,7.81,7.25,7.81
Iowa,IA,2016,7.25,7.81,7.25,7.81,7.25,7.81
Kansas,KS,2016,7.25,7.81,7.25,7.81,7.25,7.81
Kentucky,KY,2016,7.25,7.81,7.25,7.81,7.25,7.81
Louisiana,LA,2016,0,0,7.25,7.81,7.25,7.81
Maine,ME,2016,7.5,8.08,7.25,7.81,7.5,8.08
Maryland,MD,2016,8.75,9.43,7.25,7.81,8.75,9.43
Massachusetts,MA,2016,10,10.78,7.25,7.81,10,10.78
Michigan,MI,2016,8.5,9.16,7.25,7.81,8.5,9.16
Minnesota,MN,2016,7.25,7.81,7.25,7.81,7.25,7.81
Mississippi,MS,2016,0,0,7.25,7.81,7.25,7.81
Missouri,MO,2016,7.65,8.24,7.25,7.81,7.65,8.24
Montana,MT,2016,8.05,8.68,7.25,7.81,8.05,8.68
Nebraska,NE,2016,9,9.7,7.25,7.81,9,9.7
Nevada,NV,2016,7.25,7.81,7.25,7.81,7.25,7.81
New Hampshire,NH,2016,7.25,7.81,7.25,7.81,7.25,7.81
New Jersey,NJ,2016,8.38,9.03,7.25,7.81,8.38,9.03
New Mexico,NM,2016,7.5,8.08,7.25,7.81,7.5,8.08
New York,NY,2016,9,9.7,7.25,7.81,9,9.7
North Carolina,NC,2016,7.25,7.81,7.25,7.81,7.25,7.81
North Dakota,ND,2016,7.25,7.81,7.25,7.81,7.25,7.81
Ohio,OH,2016,7.25,7.81,7.25,7.81,7.25,7.81
Oklahoma,OK,2016,2,2.16,7.25,7.81,7.25,7.81
Oregon,OR,2016,9.75,10.51,7.25,7.81,9.75,10.51
Pennsylvania,PA,2016,7.25,7.81,7.25,7.81,7.25,7.81
Puerto Rico,None,2016,5.08,5.47,7.25,7.81,7.25,7.81
Rhode Island,RI,2016,9.6,10.35,7.25,7.81,9.6,10.35
South Carolina,SC,2016,0,0,7.25,7.81,7.25,7.81
South Dakota,SD,2016,8.55,9.21,7.25,7.81,8.55,9.21
Tennessee,TN,2016,0,0,7.25,7.81,7.25,7.81
Texas,TX,2016,7.25,7.81,7.25,7.81,7.25,7.81
U.S. Virgin Islands,None,2016,4.3,4.63,7.25,7.81,7.25,7.81
Utah,UT,2016,7.25,7.81,7.25,7.81,7.25,7.81
Vermont,VT,2016,9.6,10.35,7.25,7.81,9.6,10.35
Virginia,VA,2016,7.25,7.81,7.25,7.81,7.25,7.81
Washington,WA,2016,9.47,10.21,7.25,7.81,9.47,10.21
West Virginia,WV,2016,8.75,9.43,7.25,7.81,8.75,9.43
Wisconsin,WI,2016,7.25,7.81,7.25,7.81,7.25,7.81
Wyoming,WY,2016,5.15,5.55,7.25,7.81,7.25,7.81
Alabama,AL,2017,0,0,7.25,7.65,7.25,7.65
Alaska,AK,2017,9.8,10.34,7.25,7.65,9.8,10.34
Arizona,AZ,2017,10,10.55,7.25,7.65,10,10.55
Arkansas,AR,2017,8.5,8.97,7.25,7.65,8.5,8.97
California,CA,2017,10,10.55,7.25,7.65,10,10.55
Colorado,CO,2017,9.3,9.81,7.25,7.65,9.3,9.81
Connecticut,CT,2017,10.1,10.66,7.25,7.65,10.1,10.66
Delaware,DE,2017,8.25,8.71,7.25,7.65,8.25,8.71
District of Columbia,DC,2017,11.5,12.14,7.25,7.65,11.5,12.14
Florida,FL,2017,8.1,8.55,7.25,7.65,8.1,8.55
Georgia,GA,2017,5.15,5.43,7.25,7.65,7.25,7.65
Guam,None,2017,8.25,8.71,7.25,7.65,8.25,8.71
Hawaii,HI,2017,9.25,9.76,7.25,7.65,9.25,9.76
Idaho,ID,2017,7.25,7.65,7.25,7.65,7.25,7.65
Illinois,IL,2017,8.25,8.71,7.25,7.65,8.25,8.71
Indiana,IN,2017,7.25,7.65,7.25,7.65,7.25,7.65
Iowa,IA,2017,7.25,7.65,7.25,7.65,7.25,7.65
Kansas,KS,2017,7.25,7.65,7.25,7.65,7.25,7.65
Kentucky,KY,2017,7.25,7.65,7.25,7.65,7.25,7.65
Louisiana,LA,2017,0,0,7.25,7.65,7.25,7.65
Maine,ME,2017,9,9.5,7.25,7.65,9,9.5
Maryland,MD,2017,8.75,9.23,7.25,7.65,8.75,9.23
Massachusetts,MA,2017,11,11.61,7.25,7.65,11,11.61
Michigan,MI,2017,8.9,9.39,7.25,7.65,8.9,9.39
Minnesota,MN,2017,7.75,8.18,7.25,7.65,7.75,8.18
Mississippi,MS,2017,0,0,7.25,7.65,7.25,7.65
Missouri,MO,2017,7.7,8.13,7.25,7.65,7.7,8.13
Montana,MT,2017,8.15,8.6,7.25,7.65,8.15,8.6
Nebraska,NE,2017,9,9.5,7.25,7.65,9,9.5
Nevada,NV,2017,7.25,7.65,7.25,7.65,7.25,7.65
New Hampshire,NH,2017,7.25,7.65,7.25,7.65,7.25,7.65
New Jersey,NJ,2017,8.44,8.91,7.25,7.65,8.44,8.91
New Mexico,NM,2017,7.5,7.91,7.25,7.65,7.5,7.91
New York,NY,2017,9.7,10.24,7.25,7.65,9.7,10.24
North Carolina,NC,2017,7.25,7.65,7.25,7.65,7.25,7.65
North Dakota,ND,2017,7.25,7.65,7.25,7.65,7.25,7.65
Ohio,OH,2017,8.15,8.6,7.25,7.65,8.15,8.6
Oklahoma,OK,2017,2,2.11,7.25,7.65,7.25,7.65
Oregon,OR,2017,9.75,10.29,7.25,7.65,9.75,10.29
Pennsylvania,PA,2017,7.25,7.65,7.25,7.65,7.25,7.65
Puerto Rico,None,2017,5.08,5.36,7.25,7.65,7.25,7.65
Rhode Island,RI,2017,9.6,10.13,7.25,7.65,9.6,10.13
South Carolina,SC,2017,0,0,7.25,7.65,7.25,7.65
South Dakota,SD,2017,8.65,9.13,7.25,7.65,8.65,9.13
Tennessee,TN,2017,0,0,7.25,7.65,7.25,7.65
Texas,TX,2017,7.25,7.65,7.25,7.65,7.25,7.65
U.S. Virgin Islands,None,2017,4.3,4.54,7.25,7.65,7.25,7.65
Utah,UT,2017,7.25,7.65,7.25,7.65,7.25,7.65
Vermont,VT,2017,10,10.55,7.25,7.65,10,10.55
Virginia,VA,2017,7.25,7.65,7.25,7.65,7.25,7.65
Washington,WA,2017,11,11.61,7.25,7.65,11,11.61
West Virginia,WV,2017,8.75,9.23,7.25,7.65,8.75,9.23
Wisconsin,WI,2017,7.25,7.65,7.25,7.65,7.25,7.65
Wyoming,WY,2017,5.15,5.43,7.25,7.65,7.25,7.65
Alabama,AL,2018,0,0,7.25,7.47,7.25,7.47
Alaska,AK,2018,9.84,10.14,7.25,7.47,9.84,10.14
Arizona,AZ,2018,10.5,10.82,7.25,7.47,10.5,10.82
Arkansas,AR,2018,8.5,8.76,7.25,7.47,8.5,8.76
California,CA,2018,11,11.33,7.25,7.47,11,11.33
Colorado,CO,2018,10.2,10.51,7.25,7.47,10.2,10.51
Connecticut,CT,2018,10.1,10.4,7.25,7.47,10.1,10.4
Delaware,DE,2018,8.25,8.5,7.25,7.47,8.25,8.5
District of Columbia,DC,2018,13.25,13.65,7.25,7.47,13.25,13.65
Florida,FL,2018,8.25,8.5,7.25,7.47,8.25,8.5
Georgia,GA,2018,5.15,5.3,7.25,7.47,7.25,7.47
Guam,None,2018,8.25,8.5,7.25,7.47,8.25,8.5
Hawaii,HI,2018,10.1,10.4,7.25,7.47,10.1,10.4
Idaho,ID,2018,7.25,7.47,7.25,7.47,7.25,7.47
Illinois,IL,2018,8.25,8.5,7.25,7.47,8.25,8.5
Indiana,IN,2018,7.25,7.47,7.25,7.47,7.25,7.47
Iowa,IA,2018,7.25,7.47,7.25,7.47,7.25,7.47
Kansas,KS,2018,7.25,7.47,7.25,7.47,7.25,7.47
Kentucky,KY,2018,7.25,7.47,7.25,7.47,7.25,7.47
Louisiana,LA,2018,0,0,7.25,7.47,7.25,7.47
Maine,ME,2018,10,10.3,7.25,7.47,10,10.3
Maryland,MD,2018,10.1,10.4,7.25,7.47,10.1,10.4
Massachusetts,MA,2018,11,11.33,7.25,7.47,11,11.33
Michigan,MI,2018,9.25,9.53,7.25,7.47,9.25,9.53
Minnesota,MN,2018,8.04,8.28,7.25,7.47,8.04,8.28
Mississippi,MS,2018,0,0,7.25,7.47,7.25,7.47
Missouri,MO,2018,7.85,8.09,7.25,7.47,7.85,8.09
Montana,MT,2018,8.3,8.55,7.25,7.47,8.3,8.55
Nebraska,NE,2018,9,9.27,7.25,7.47,9,9.27
Nevada,NV,2018,7.25,7.47,7.25,7.47,7.25,7.47
New Hampshire,NH,2018,7.25,7.47,7.25,7.47,7.25,7.47
New Jersey,NJ,2018,8.6,8.86,7.25,7.47,8.6,8.86
New Mexico,NM,2018,7.5,7.73,7.25,7.47,7.5,7.73
New York,NY,2018,10.4,10.71,7.25,7.47,10.4,10.71
North Carolina,NC,2018,7.25,7.47,7.25,7.47,7.25,7.47
North Dakota,ND,2018,7.25,7.47,7.25,7.47,7.25,7.47
Ohio,OH,2018,8.3,8.55,7.25,7.47,8.3,8.55
Oklahoma,OK,2018,2,2.06,7.25,7.47,7.25,7.47
Oregon,OR,2018,10.75,11.07,7.25,7.47,10.75,11.07
Pennsylvania,PA,2018,7.25,7.47,7.25,7.47,7.25,7.47
Puerto Rico,None,2018,5.08,5.23,7.25,7.47,7.25,7.47
Rhode Island,RI,2018,10.1,10.4,7.25,7.47,10.1,10.4
South Carolina,SC,2018,0,0,7.25,7.47,7.25,7.47
South Dakota,SD,2018,8.85,9.12,7.25,7.47,8.85,9.12
Tennessee,TN,2018,0,0,7.25,7.47,7.25,7.47
Texas,TX,2018,7.25,7.47,7.25,7.47,7.25,7.47
U.S. Virgin Islands,None,2018,4.3,4.43,7.25,7.47,7.25,7.47
Utah,UT,2018,7.25,7.47,7.25,7.47,7.25,7.47
Vermont,VT,2018,10.5,10.82,7.25,7.47,10.5,10.82
Virginia,VA,2018,7.25,7.47,7.25,7.47,7.25,7.47
Washington,WA,2018,11.5,11.85,7.25,7.47,11.5,11.85
West Virginia,WV,2018,8.75,9.01,7.25,7.47,8.75,9.01
Wisconsin,WI,2018,7.25,7.47,7.25,7.47,7.25,7.47
Wyoming,WY,2018,5.15,5.3,7.25,7.47,7.25,7.47
Alabama,AL,2019,0,0,7.25,7.34,7.25,7.34
Alaska,AK,2019,10.19,10.31,7.25,7.34,10.19,10.31
Arizona,AZ,2019,12,12.14,7.25,7.34,12,12.14
Arkansas,AR,2019,9.25,9.36,7.25,7.34,9.25,9.36
California,CA,2019,12,12.14,7.25,7.34,12,12.14
Colorado,CO,2019,12,12.14,7.25,7.34,12,12.14
Connecticut,CT,2019,11,11.13,7.25,7.34,11,11.13
Delaware,DE,2019,9.25,9.36,7.25,7.34,9.25,9.36
District of Columbia,DC,2019,14,14.16,7.25,7.34,14,14.16
Florida,FL,2019,8.56,8.66,7.25,7.34,8.56,8.66
Georgia,GA,2019,5.15,5.21,7.25,7.34,7.25,7.34
Guam,None,2019,8.25,8.35,7.25,7.34,8.25,8.35
Hawaii,HI,2019,10.1,10.22,7.25,7.34,10.1,10.22
Idaho,ID,2019,7.25,7.34,7.25,7.34,7.25,7.34
Illinois,IL,2019,9.25,9.36,7.25,7.34,9.25,9.36
Indiana,IN,2019,7.25,7.34,7.25,7.34,7.25,7.34
Iowa,IA,2019,7.25,7.34,7.25,7.34,7.25,7.34
Kansas,KS,2019,7.25,7.34,7.25,7.34,7.25,7.34
Kentucky,KY,2019,7.25,7.34,7.25,7.34,7.25,7.34
Louisiana,LA,2019,0,0,7.25,7.34,7.25,7.34
Maine,ME,2019,12,12.14,7.25,7.34,12,12.14
Maryland,MD,2019,11,11.13,7.25,7.34,11,11.13
Massachusetts,MA,2019,12.75,12.9,7.25,7.34,12.75,12.9
Michigan,MI,2019,9.65,9.76,7.25,7.34,9.65,9.76
Minnesota,MN,2019,8.15,8.25,7.25,7.34,8.15,8.25
Mississippi,MS,2019,0,0,7.25,7.34,7.25,7.34
Missouri,MO,2019,9.45,9.56,7.25,7.34,9.45,9.56
Montana,MT,2019,8.65,8.75,7.25,7.34,8.65,8.75
Nebraska,NE,2019,9,9.11,7.25,7.34,9,9.11
Nevada,NV,2019,7.25,7.34,7.25,7.34,7.25,7.34
New Hampshire,NH,2019,7.25,7.34,7.25,7.34,7.25,7.34
New Jersey,NJ,2019,11,11.13,7.25,7.34,11,11.13
New Mexico,NM,2019,9,9.11,7.25,7.34,9,9.11
New York,NY,2019,11.8,11.94,7.25,7.34,11.8,11.94
North Carolina,NC,2019,7.25,7.34,7.25,7.34,7.25,7.34
North Dakota,ND,2019,7.25,7.34,7.25,7.34,7.25,7.34
Ohio,OH,2019,8.7,8.8,7.25,7.34,8.7,8.8
Oklahoma,OK,2019,2,2.02,7.25,7.34,7.25,7.34
Oregon,OR,2019,11.25,11.38,7.25,7.34,11.25,11.38
Pennsylvania,PA,2019,7.25,7.34,7.25,7.34,7.25,7.34
Puerto Rico,None,2019,5.08,5.14,7.25,7.34,7.25,7.34
Rhode Island,RI,2019,10.5,10.62,7.25,7.34,10.5,10.62
South Carolina,SC,2019,0,0,7.25,7.34,7.25,7.34
South Dakota,SD,2019,9.3,9.41,7.25,7.34,9.3,9.41
Tennessee,TN,2019,0,0,7.25,7.34,7.25,7.34
Texas,TX,2019,7.25,7.34,7.25,7.34,7.25,7.34
U.S. Virgin Islands,None,2019,10.5,10.62,7.25,7.34,10.5,10.62
